datetime,exchange_inflow_usd_tether,exchange_inflow_usd_ethereum,exchange_inflow_usd_chainlink,exchange_outflow_usd_tether,exchange_outflow_usd_bitcoin,exchange_outflow_usd_ethereum,exchange_outflow_usd_chainlink,deposit_transactions_tether,deposit_transactions_ethereum,deposit_transactions_chainlink,active_addresses_1h_tether,active_addresses_1h_bitcoin,active_addresses_1h_ethereum,active_addresses_1h_chainlink,network_growth_tether,network_growth_bitcoin,network_growth_ethereum,network_growth_chainlink,sentiment_weighted_total_tether,sentiment_weighted_total_bitcoin,sentiment_weighted_total_ethereum,sentiment_weighted_total_chainlink,whale_transaction_count_100k_usd_to_inf_tether,whale_transaction_count_100k_usd_to_inf_bitcoin,whale_transaction_count_100k_usd_to_inf_ethereum,whale_transaction_count_100k_usd_to_inf_chainlink,transaction_volume_bitcoin,transaction_volume_ethereum,transaction_volume_chainlink,age_consumed_tether,age_consumed_bitcoin,age_consumed_ethereum,age_consumed_chainlink,percent_of_total_supply_on_exchanges_tether,percent_of_total_supply_on_exchanges_santiment,percent_of_total_supply_on_exchanges_bitcoin,percent_of_total_supply_on_exchanges_ethereum,percent_of_total_supply_on_exchanges_chainlink
2025-01-01 00:00:00+00:00,2973539.69717269,1303929.470449867,136217.25800750154,3449896.15533386,8813645.803073185,3444424.360862425,216414.23602963248,27.47048611111111,73.55902777777779,0.9131944444444444,350.3333333333333,3546.4166666666665,2371.0,30.166666666666668,26.07465277777777,489.80034722222223,159.23784722222223,1.732638888888889,-0.0109414896814166,0.0409442014119166,0.0078065249723333,0.0086271228126666,15.333333333333334,34.916666666666664,20.416666666666668,1.4166666666666667,524.8590663375002,7069.103053319097,27881.10200432377,40534098.87074999,16528.856189053487,68431.73434091087,229503.00749040107,0.0909766740374739,0.087411121915434,0.0135339698291475,0.0125880678849583,0.0384300456648333
2025-01-01 01:00:00+00:00,3010750.6059383065,1797167.1462632827,113049.44092644048,4232502.620463888,24957196.157980006,1669731.0173364105,142696.81444907788,37.79340277777778,75.46006944444444,1.4305555555555556,315.1666666666667,3908.8333333333335,2398.5,26.08333333333333,34.322916666666664,559.8680555555555,171.6909722222222,2.201388888888889,-0.0081798151058333,-0.0216830587215,-0.0209656186300833,-0.00649785440775,17.083333333333332,29.916666666666668,26.08333333333333,1.25,780.8083161900004,7775.875437927949,22060.327423501032,37373571.05181309,61236.74729058772,199396.2441204576,1816807.7439124945,0.0923190169250937,0.087411121915434,0.0135206658255798,0.012604933810651,0.0383876630457864
2025-01-01 02:00:00+00:00,1443852.0292460348,26091878.373409394,95219.67943953276,2437893.1481539616,0.0,1620392.6182774706,105937.87747300016,37.79340277777778,75.46006944444444,1.4305555555555556,398.8333333333333,0.0,2399.833333333333,21.33333333333333,34.322916666666664,559.8680555555555,171.6909722222222,2.201388888888889,-0.0086826526368333,-0.0202901172085833,-0.02252317973925,-0.00311308586925,11.666666666666666,0.0,22.75,1.0833333333333333,0.0,20507.046979118222,17570.969880918416,139671669.59302184,0.0,3412011.6578885126,701011.7185036204,0.0923190169250937,0.087411121915434,0.0135206658255798,0.012604933810651,0.0383876630457864
2025-01-01 03:00:00+00:00,3391380.8434105203,4700198.524406828,121575.53183001257,2209745.075196621,24417143.64015906,1395234.0890078167,218229.78147049327,37.79340277777778,75.46006944444444,1.4305555555555556,363.4166666666667,4427.916666666667,2290.4166666666665,18.166666666666668,34.322916666666664,559.8680555555555,171.6909722222222,2.201388888888889,-0.0145746321711666,-0.0006192130884166,0.1033259856678333,-0.0066337308139166,10.5,43.0,18.25,1.4166666666666667,1563.9107451225,12100.911393964729,35950.75676438909,38880697.42108207,108812.9955990953,110712.8569780636,171150.55404842633,0.0923190169250937,0.087411121915434,0.0135206658255798,0.012604933810651,0.0383876630457864
2025-01-01 04:00:00+00:00,1275566.5240370014,703501.7483215537,38779.39156693776,643877.20948024,21007695.63249358,1468639.193817768,95522.0412614321,37.79340277777778,75.46006944444444,1.4305555555555556,342.9166666666667,2988.083333333333,2204.583333333333,17.166666666666668,34.322916666666664,559.8680555555555,171.6909722222222,2.201388888888889,-0.0067908505445,-0.0042781827108333,0.0464613233204999,-0.0047785699636666,5.166666666666667,26.0,12.583333333333334,0.5833333333333334,668.7020521683345,3534.776456792604,9501.504992388518,190681205.87307227,18301.576169925327,35846.59935090204,96955.12703692145,0.0923190169250937,0.087411121915434,0.0135206658255798,0.012604933810651,0.0383876630457864
2025-01-01 05:00:00+00:00,3296319.270911437,1663725.380681635,63830.22377129313,2584161.7799836,5829186.04082239,1011779.6932345636,170496.44114709148,37.79340277777778,75.46006944444444,1.4305555555555556,375.8333333333333,3051.833333333333,2190.583333333333,19.25,34.322916666666664,559.8680555555555,171.6909722222222,2.201388888888889,0.0278225951636666,0.0126700912555833,0.0327200749140833,0.0023780289781666,10.5,31.08333333333333,11.5,0.9166666666666666,1321.8038912491645,5036.938243430524,17034.2072024885,30349982.499464527,11722.325110520624,15297.000350903938,83320.26134340063,0.0923190169250937,0.087411121915434,0.0135206658255798,0.012604933810651,0.0383876630457864
2025-01-01 06:00:00+00:00,1841527.1956615888,3355539.642761269,90763.95526288936,1666936.6684198668,9313580.423521202,2862122.4943149216,52690.88756142264,37.79340277777778,75.46006944444444,1.4305555555555556,330.5,2887.25,2140.6666666666665,19.916666666666668,34.322916666666664,559.8680555555555,171.6909722222222,2.201388888888889,-0.016652408114,0.0202506469465,-0.0237985047338333,-0.0016244428499166,15.166666666666666,25.666666666666668,11.416666666666666,0.9166666666666666,484.12163682833335,4341.437985357186,16331.535086826158,27567910.86731664,4920.572612696821,253579.40404543944,2627811.8741833423,0.0923190169250937,0.087411121915434,0.0135206658255798,0.012604933810651,0.0383876630457864
2025-01-01 07:00:00+00:00,3490156.807909218,531740.0863360555,44746.87563145045,3899449.444271048,3193789.964780495,810793.6725489026,94266.2854705716,37.79340277777778,75.46006944444444,1.4305555555555556,318.1666666666667,1889.9166666666667,2135.25,11.666666666666666,34.322916666666664,559.8680555555555,171.6909722222222,2.201388888888889,0.0171264547180833,0.0078083843384166,-0.04887487478325,-0.0038761732909166,13.416666666666666,17.75,10.75,0.5833333333333334,293.89147107916693,3705.3082658909166,49918.04740746879,15583942.788471855,3203.1326050517114,21132.34300606136,200785.7455450337,0.0923190169250937,0.087411121915434,0.0135206658255798,0.012604933810651,0.0383876630457864
2025-01-01 08:00:00+00:00,3684760.4799970817,1456987.4239214936,28197.562530956708,6250061.650546302,9796130.884374648,2135685.860783975,111167.12489991244,37.79340277777778,75.46006944444444,1.4305555555555556,308.75,3139.4166666666665,2123.0,25.416666666666668,34.322916666666664,559.8680555555555,171.6909722222222,2.201388888888889,0.0111972181495833,-0.0330295630754166,0.02305653483725,0.0,16.75,31.0,16.583333333333332,0.5,579.6327259225001,3379.5576739587427,12723.511218035012,32878250.336633164,16216.415444869192,15881.64185234144,40100.33520004404,0.0923190169250937,0.087411121915434,0.0135206658255798,0.012604933810651,0.0383876630457864
2025-01-01 09:00:00+00:00,3914961.411709907,1457107.7050301705,116101.19163696266,3190062.5747497454,4141529.010453329,2132832.5834325342,97538.36580935265,37.79340277777778,75.46006944444444,1.4305555555555556,343.5833333333333,2229.6666666666665,2186.083333333333,19.916666666666668,34.322916666666664,559.8680555555555,171.6909722222222,2.201388888888889,0.049494007311,-0.0106315156754166,-0.0276438121404166,0.0,15.5,27.83333333333333,18.08333333333333,1.8333333333333333,349.67317155000023,4881.096537853709,32923.316702043485,21734174.181409813,17792.355072987844,46282.32144383196,238478.1102581669,0.0923190169250937,0.087411121915434,0.0135206658255798,0.012604933810651,0.0383876630457864
